50, 25000, 1337887, 1325633
50, 25000, 2492821, 2450969
50, 25000, 4289278, 4210638
50, 25000, 4715941, 4560028
50, 25000, 3210018, 3185915
50, 25000, 2636213, 2626245
50, 25000, 4428179, 4418922
50, 25000, 2346385, 2321812
50, 25000, 4410952, 4379900
50, 25000, 2927969, 2896537
50, 25000, 4321080, 4290972
50, 25000, 3986522, 3821360
50, 25000, 2415113, 2397995
50, 25000, 2768751, 2726479
50, 25000, 3226317, 3174373
50, 25000, 4728091, 4697779
50, 25000, 4080023, 4035040
50, 25000, 4491743, 4468255
50, 25000, 2618766, 2600354
50, 25000, 2638625, 2615381
50, 25000, 3545122, 3457293
