50, 25000, 1958403, 1919524
50, 25000, 1961656, 1937546
50, 25000, 2512326, 2418170
50, 25000, 3329270, 3270753
50, 25000, 3505559, 3465661
50, 25000, 2948372, 2865193
50, 25000, 2468132, 2369299
50, 25000, 2844054, 2803087
50, 25000, 2895988, 2822280
50, 25000, 3157057, 3099742
50, 25000, 3154479, 3077235
50, 25000, 2654068, 2641135
50, 25000, 3526382, 3454007
50, 25000, 2729736, 2647146
50, 25000, 3438678, 3384379
50, 25000, 3338235, 3166833
50, 25000, 2836949, 2774643
50, 25000, 2303197, 2258621
50, 25000, 2779476, 2687291
50, 25000, 2626985, 2563479
50, 25000, 3600174, 3561791
