50, 25000, 351561, 278102
50, 25000, 323924, 258929
50, 25000, 312258, 268704
50, 25000, 332325, 289653
50, 25000, 452472, 361587
50, 25000, 380255, 291500
50, 25000, 362161, 301465
50, 25000, 380916, 273805
50, 25000, 320695, 280908
50, 25000, 379866, 287818
50, 25000, 346632, 291391
50, 25000, 358924, 281621
50, 25000, 364698, 264084
50, 25000, 434876, 299225
50, 25000, 312507, 264058
50, 25000, 350073, 295876
50, 25000, 311556, 249250
50, 25000, 340306, 254433
50, 25000, 299400, 269661
50, 25000, 338876, 283917
50, 25000, 364780, 302498
