50, 25000, 596039, 514940
50, 25000, 724213, 703897
50, 25000, 1087087, 1026442
50, 25000, 834532, 786473
50, 25000, 525536, 510447
50, 25000, 1273645, 1139451
50, 25000, 1859988, 1739098
50, 25000, 1380357, 1271364
50, 25000, 1148854, 1108845
50, 25000, 1785966, 1639869
50, 25000, 1159228, 1103149
50, 25000, 1732605, 1623742
50, 25000, 2034008, 1878609
50, 25000, 1440009, 1280467
50, 25000, 1189001, 1148284
50, 25000, 1656265, 1486173
50, 25000, 1241858, 1100957
50, 25000, 1405956, 1349205
50, 25000, 1511945, 1469676
50, 25000, 759137, 709643
50, 25000, 2019709, 1822860
